,Title,Author,Rating,Img,Img_description,Year,Words,Minutes,Description,Genres,Blurb,PDF,Epub,Read
252,Emerald,Aleksandr I. Kuprin,3.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/rearing.jpg,"A large, bridled horse rearing up. Graphite filter.",1907.0,6197,25,"A stallion racehorse, experiences anger, nostalgia and desire while the humans around him use and abuse him as if he had no feeling.",Literary;Tragedy,"And at once, Emerald saw in imagination the short track to the hippodrome, saw almost every house, every kerbstone, saw the sand of the hippodrome itself, the Tribune, the other horses, the green of the grass and the yellow of the track.",https://www.libraryofshortstories.com/storiespdf/emerald.pdf,https://www.libraryofshortstories.com/storiesepub/emerald.epub,https://www.libraryofshortstories.com/onlinereader/emerald
253,The Emperor’s New Clothes,Hans Christian Andersen,4.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/covers/small/the_emperors_new_clothes.jpg,A king in a bare gown with no pants walks with his entourage in front of a crowd.,1837.0,1674,7,Two swindlers promise a king that they will make him a set of clothes so fine only those worthy are able to see it.,Childrens;Quirky,"Both the swindlers begged him to be pleased to step nearer, and asked if here was not a pretty pattern, and beautiful colours; and they pointed to the bare looms, and the poor old minister kept staring at it, but he couldn’t see anything, because there was nothing to be seen.",https://www.libraryofshortstories.com/storiespdf/the-emperors-new-clothes.pdf,https://www.libraryofshortstories.com/storiesepub/the-emperors-new-clothes.epub,https://www.libraryofshortstories.com/onlinereader/the-emperors-new-clothes
254,The Empire of the Ants,H. G. Wells,4.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/covers/small/the_empire_of_the_ants.jpg,A drawing of three sailors on a sinking wooden boat.,1905.0,5796,24,A ship captain is asked to take his boat to assist a town on the Amazon against an army of... ants.,Adventure;Fantasy;Sci-fi;Quirky,"When Captain Gerilleau received instructions to take his new gunboat, the Benjamin Constant, to Badama on the Batemo arm of the Guaramadema and there assist the inhabitants against a plague of ants, he suspected the authorities of mockery.",https://www.libraryofshortstories.com/storiespdf/the-empire-of-the-ants.pdf,https://www.libraryofshortstories.com/storiesepub/the-empire-of-the-ants.epub,https://www.libraryofshortstories.com/onlinereader/the-empire-of-the-ants
255,The Empire of the Necromancers,Clark Ashton Smith,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/skull.jpg,"A human skull, graphite filter.",1932.0,3456,14,"After two necromancers raise an undead army with which they plan to become rulers of the land, one of the undead begins to remember his past life.",Fantasy;Horror;Gothic,"And recalling it, he felt a vague stirring of revolt, a ghostly resentment against the magicians who had haled him forth to this calamitous mockery of life.",https://www.libraryofshortstories.com/storiespdf/the-empire-of-the-necromancers.pdf,https://www.libraryofshortstories.com/storiesepub/the-empire-of-the-necromancers.epub,https://www.libraryofshortstories.com/onlinereader/the-empire-of-the-necromancers
256,The Empty House,Algernon Blackwood,4.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/candle.jpg,A small candle in the dark. Graphite filter,1906.0,6228,25,"Shorthouse’s Aunt insists that they investigate the local haunted house, where a young woman was said to be murdered by her lover.",Gothic;Horror,"Facing them, directly in their way between the doorposts, stood the figure of a woman. She had dishevelled hair and wildly staring eyes, and her face was terrified and white as death.",https://www.libraryofshortstories.com/storiespdf/the-empty-house.pdf,https://www.libraryofshortstories.com/storiesepub/the-empty-house.epub,https://www.libraryofshortstories.com/onlinereader/the-empty-house
257,An Encounter,James Joyce,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/petersburg.jpg,A 20th century city with trams and horse-drawn carriages. Graphite filter.,1914.0,3243,13,Two young boys take a day off from school to seek adventure.,Literary;Tragedy,"But real adventures, I reflected, do not happen to people who remain at home: they must be sought abroad.",https://www.libraryofshortstories.com/storiespdf/an-encounter.pdf,https://www.libraryofshortstories.com/storiesepub/an-encounter.epub,https://www.libraryofshortstories.com/onlinereader/an-encounter
258,The End of the Story,Clark Ashton Smith,5.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/covers/small/the_end_of_the_story.jpg,Cover of 'The End of the Story'. A man in a cowl holds a sparkling wand up to a bare-breasted woman partially covered in a robe. Black and white sketch.,1930.0,7148,29,"Christophe Morand seeks shelter from a storm, finding it in an abbey full of hospitable monks. He is shown around their library, but warned from reading one book in particular.",Fantasy;Gothic,"“There is a curse on the pages that you hold in your hand: an evil spell, a malign power is attached to them, and he who would venture to peruse them is henceforward in dire peril both of body and soul.”",https://www.libraryofshortstories.com/storiespdf/the-end-of-the-story.pdf,https://www.libraryofshortstories.com/storiesepub/the-end-of-the-story.epub,https://www.libraryofshortstories.com/onlinereader/the-end-of-the-story
259,Eupompus Gave Splendour to Art by Numbers,Aldous Huxley,3.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/moustache.jpg,An alert man with a moustache. Graphite Filter.,1920.0,3303,14,A man’s eccentric friend announces his discovery resulting from an obsessive investigation into the meaning of an obscure phrase he had read.,Quirky;Literary,"“He just suddenly fell in love with numbers—head over ears, amorous of pure counting. Number seemed to him to be the sole reality, the only thing about which the mind of man could be certain.”",https://www.libraryofshortstories.com/storiespdf/eupompus-gave-splendour-to-art-of-numbers.pdf,https://www.libraryofshortstories.com/storiesepub/eupompus-gave-splendour-to-art-of-numbers.epub,https://www.libraryofshortstories.com/onlinereader/eupompus-gave-splendour-to-art-of-numbers
260,Eveline,James Joyce,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/lovers.jpg,"A kissing man and woman, silhouetted in a forest. Graphite filter.. Graphite filter.",1904.0,1819,8,The young Eveline contemplates breaking her promise and running away from home.,Literary;Tragedy,What would they say of her in the Stores when they found out that she had run away with a fellow?,https://www.libraryofshortstories.com/storiespdf/eveline.pdf,https://www.libraryofshortstories.com/storiesepub/eveline.epub,https://www.libraryofshortstories.com/onlinereader/eveline
261,An Evening Guest,Aleksandr I. Kuprin,4.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/knocker.jpg,"A brass, ring, door knocker. Graphite filter.",,2064,9,An anxious man is sent into an existential panic by an unassuming knock on his door.,Literary,"I do not know what will happen to me tomorrow.⁠ ⁠… Only the shallow, self-satisfied, dull pharisees, or the chosen clairvoyants, with extraordinarily sensitized spirits, know it⁠—or deceive themselves and others into a belief that they know it.",https://www.libraryofshortstories.com/storiespdf/an-evening-guest.pdf,https://www.libraryofshortstories.com/storiesepub/an-evening-guest.epub,https://www.libraryofshortstories.com/onlinereader/an-evening-guest
262,Everybody Was Very Nice,Stephen Vincent Benét,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/letter.jpg,An envelope with a wax stamp. Graphite filter,1937.0,7835,32,,Literary,"The queer thing was that at first I didn’t feel married to Lisa at all. I mean, on the boat, and even at the hotel. She said, “But how exciting, darling!” and I suppose it was.",https://www.libraryofshortstories.com/storiespdf/everybody-was-very-nice.pdf,https://www.libraryofshortstories.com/storiesepub/everybody-was-very-nice.epub,https://www.libraryofshortstories.com/onlinereader/everybody-was-very-nice
263,The Evil Clergyman,H. P. Lovecraft,2.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/oldman.jpg,An old man with long hair and beard. Graphite filter,1933.0,1656,7,A man is shown into a room and told not to touch the box on the table in the middle.,Gothic;Horror,"“I hope you won’t stay till after dark. And I beg of you to let that thing on the table—the thing that looks like a match box—alone. We don’t know what it is, but we suspect it has something to do with what he did. We even avoid looking at it very steadily.”",https://www.libraryofshortstories.com/storiespdf/the-evil-clergyman.pdf,https://www.libraryofshortstories.com/storiesepub/the-evil-clergyman.epub,https://www.libraryofshortstories.com/onlinereader/the-evil-clergyman
264,Ex Oblivione,H. P. Lovecraft,4.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/vine.jpg,"A solitary, draping vine. Graphite filter",1921.0,704,3,A dying man explores worlds in his dreams.,Gothic;Fantasy,No new horror can be more terrible than the daily torture of the commonplace.,https://www.libraryofshortstories.com/storiespdf/ex-oblivione.pdf,https://www.libraryofshortstories.com/storiesepub/ex-oblivione.epub,https://www.libraryofshortstories.com/onlinereader/ex-oblivione
265,An Extinct Angel,Charlotte Perkins Gilman,3.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/youngwoman.jpg,A young woman with braided hair. Graphite filter.,1891.0,964,4,"Once upon a time there was an angel in nearly every home, destined to toil away for their human with no complaint and no ambitions save for the desire to serve...",Literary,"He was apt to come home tired and cross, and in this exigency it was the business of the angel to wear a smile for his benefit—a soft, perennial, heavenly smile.",https://www.libraryofshortstories.com/storiespdf/an-extinct-angel.pdf,https://www.libraryofshortstories.com/storiesepub/an-extinct-angel.epub,https://www.libraryofshortstories.com/onlinereader/an-extinct-angel
266,The Eye of Apollo,G. K. Chesterton,4.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/covers/small/the_eye_of_apollo.jpg,"Drawing of a man in a suit, a woman in a simple dress, a man in white robes and a priest sitting on an ornate chair.",1911.0,6180,25,"Father Brown and his companion become acquainted with the companion’s new upstairs neighbours, a new religious group worshipping Apollo and claiming the power to stare at the sun.",Mystery,Father Brown found Flambeau and some six other people standing round the enclosed space into which the lift commonly descended. But the lift had not descended. Something else had descended; something that ought to have come by a lift.,https://www.libraryofshortstories.com/storiespdf/the-eye-of-apollo.pdf,https://www.libraryofshortstories.com/storiesepub/the-eye-of-apollo.epub,https://www.libraryofshortstories.com/onlinereader/the-eye-of-apollo
267,The Eyes Have It,Phillip K. Dick,4.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/heart.jpg,A human heart. Graphite filter.,1953.0,1084,5,A man learns of a disturbing alien invasion through reading a book.,Quirky;Sci-fi,"I sickened. The rascal now had her hand, as well as her heart. I shudder to think what he’s done with them, by this time.",https://www.libraryofshortstories.com/storiespdf/the-eyes-have-it.pdf,https://www.libraryofshortstories.com/storiesepub/the-eyes-have-it.epub,https://www.libraryofshortstories.com/onlinereader/the-eyes-have-it
268,Faces in the Street,Henry Lawson,3.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/petersburg.jpg,A 19th century city with trams and horse-drawn carriages. Graphite Filter.,1888.0,861,4,The author describes the faces of people in the city street.,Poetry,I wonder would the apathy of wealthy men endure - Were all their windows level with the faces of the poor?,https://www.libraryofshortstories.com/storiespdf/faces-in-the-street.pdf,https://www.libraryofshortstories.com/storiesepub/faces-in-the-street.epub,https://www.libraryofshortstories.com/onlinereader/faces-in-the-street
269,The Facts in the Case of M. Valdemar,Edgar Allan Poe,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/hand.jpg,A straining hand. Graphite filter.,1845.0,3620,15,"The narrator, a mesmerist (early hypnotist), finds a dying man willing to be mesmerised for experiment.",Gothic;Horror,"There was no longer the faintest sign of vitality in M. Valdemar; and concluding him to be dead, we were consigning him to the charge of the nurses, when a strong vibratory motion was observable in the tongue.",https://www.libraryofshortstories.com/storiespdf/the-facts-in-the-case-of-m-valdemar.pdf,https://www.libraryofshortstories.com/storiesepub/the-facts-in-the-case-of-m-valdemar.epub,https://www.libraryofshortstories.com/onlinereader/the-facts-in-the-case-of-m-valdemar
270,A Fairly Sad Tale,Dorothy Parker,3.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/holding.jpg,Holding hands. Graphite filter.,,187,1,A poem on finding the wrong men.,Poetry,"They broke my heart, they stilled my song.",https://www.libraryofshortstories.com/storiespdf/a-fairly-sad-tale.pdf,https://www.libraryofshortstories.com/storiesepub/a-fairly-sad-tale.epub,https://www.libraryofshortstories.com/onlinereader/a-fairly-sad-tale
271,The Fall of the House of Usher,Edgar Allan Poe,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/gothic.jpg,A spired castle looming high. Graphite filter,1839.0,7274,30,"A man comes to the aid of the Roderick Usher and his sister Madeline, who are both ill. Roderick however begins to tell the narrator that he believes the house to be sentient.",Gothic;Horror;Literary,"I know not how it was—but, with the first glimpse of the building, a sense of insufferable gloom pervaded my spirit.",https://www.libraryofshortstories.com/storiespdf/the-fall-of-the-house-of-usher.pdf,https://www.libraryofshortstories.com/storiesepub/the-fall-of-the-house-of-usher.epub,https://www.libraryofshortstories.com/onlinereader/the-fall-of-the-house-of-usher
272,The Farmer and His Sons,Aesop,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/pitchfork.jpg,A pitchfork lying next to a clump of hay. Graphite filter.,-400.0,113,1,A small fable on cunning.,Childrens,"A Farmer, being at death’s door, and desiring to impart to his Sons a secret of much moment, called them round him and said, “My sons, I am shortly about to die; I would have you know, therefore, that...",https://www.libraryofshortstories.com/storiespdf/the-farmer-and-his-sons.pdf,https://www.libraryofshortstories.com/storiesepub/the-farmer-and-his-sons.epub,https://www.libraryofshortstories.com/onlinereader/the-farmer-and-his-sons
273,The Farmer and the Fox,Aesop,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/pitchfork.jpg,A pitchfork lying next to a clump of hay. Graphite filter.,-400.0,96,1,A small fable on cruelty and karma.,Childrens,"A Farmer was greatly annoyed by a Fox, which came prowling about his yard at night and carried off his fowls. So he set a trap for him and caught him; and in order to be revenged upon him, he tied a b...",https://www.libraryofshortstories.com/storiespdf/the-farmer-and-the-fox.pdf,https://www.libraryofshortstories.com/storiesepub/the-farmer-and-the-fox.epub,https://www.libraryofshortstories.com/onlinereader/the-farmer-and-the-fox
274,Father and Sons,Aesop,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/pitchfork.jpg,A pitchfork lying down next to some hay. Graphite filter.,-400.0,123,1,A fable on unity.,Childrens,"A certain man had several Sons who were always quarrelling with one another, and, try as he might, he could not get them to live together in harmony. So he determined to convince them of their folly b...",https://www.libraryofshortstories.com/storiespdf/father-and-sons.pdf,https://www.libraryofshortstories.com/storiesepub/father-and-sons.epub,https://www.libraryofshortstories.com/onlinereader/father-and-sons
275,Father Milon,Guy de Maupassant,3.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/knife.jpg,A knife stuck into the dirt,1883.0,2174,9,"In Prussian occupied France, an old man is questioned about the suspicious deaths of Prussian soldiers.",War,"For a month the German vanguard had been in this village. The French remained motionless, ten leagues away; and yet, every night, some of the Uhlans disappeared.",https://www.libraryofshortstories.com/storiespdf/father-milon.pdf,https://www.libraryofshortstories.com/storiesepub/father-milon.epub,https://www.libraryofshortstories.com/onlinereader/father-milon
276,The Fearsome Touch of Death,Robert E. Howard,3.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/hand.jpg,A tense hand in the darkness. Graphite Filter,1930.0,2012,9,"A man stands vigil over the body of a deceased recluse, but can’t bear the look of the man’s eyes.",Horror;Gothic,"“Not superstitious, are you?”",https://www.libraryofshortstories.com/storiespdf/the-fearsome-touch-of-death.pdf,https://www.libraryofshortstories.com/storiesepub/the-fearsome-touch-of-death.epub,https://www.libraryofshortstories.com/onlinereader/the-fearsome-touch-of-death
277,The Feast of Nemesis,Saki,4.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/bee.jpg,"A bee, graphite filter.",1913.0,1500,6,"After Mrs. Thackenbury complains of the difficulties of gift giving holidays, her nephew Clovis postures the idea of a holiday of the reversed kind. Where you give to people you loathe, negative gifts.",Quirky,"“Just think how jolly it would be if a recognised day were set apart for the paying off of old scores and grudges, a day when one could lay oneself out to be gracefully vindictive to a carefully treasured list of ‘people who must not be let off.’”",https://www.libraryofshortstories.com/storiespdf/the-feast-of-nemesis.pdf,https://www.libraryofshortstories.com/storiesepub/the-feast-of-nemesis.epub,https://www.libraryofshortstories.com/onlinereader/the-feast-of-nemesis
278,The Female of the Species,Rudyard Kipling,4.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/smug.jpg,A mother holding a baby. Graphite filter.,1911.0,573,3,She who faces Death by torture for each life beneath her breast — May not deal in doubt or pity—must not swerve for fact or jest.,Poetry,A poem on feminine aggression,https://www.libraryofshortstories.com/storiespdf/the-female-of-the-species.pdf,https://www.libraryofshortstories.com/storiesepub/the-female-of-the-species.epub,https://www.libraryofshortstories.com/onlinereader/the-female-of-the-species
279,Ferdinando Eboli,Mary Shelley,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/soldier.jpg,"A soldier in fancy garb, with a sabre, on a horse. Graphite filter.",1828.0,6998,28,After a man leaves for war he is captured and has his clothes stolen. On his escape back to freedom he finds a man that looks exactly the same as him and wearing his stolen clothes.,Gothic;Literary,"You put me out of conceit with myself, to think that one, apparently so like me, should get on no better in the world.",https://www.libraryofshortstories.com/storiespdf/ferdinando-eboli.pdf,https://www.libraryofshortstories.com/storiesepub/ferdinando-eboli.epub,https://www.libraryofshortstories.com/onlinereader/ferdinando-eboli
280,The Festival,H. P. Lovecraft,3.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/cult.jpg,Two men wearing hooded robes. Graphite filter,1925.0,3662,15,"Destined by traditions passed down from his ancestors, a man heads to Kingsport to partake in a festival of his people.",Gothic;Horror,"It was the Yuletide, that men call Christmas though they know in their hearts it is older than Bethlehem and Babylon, older than Memphis and mankind.",https://www.libraryofshortstories.com/storiespdf/the-festival.pdf,https://www.libraryofshortstories.com/storiesepub/the-festival.epub,https://www.libraryofshortstories.com/onlinereader/the-festival
281,Filmer,H. G. Wells,2.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/machine.jpg,An assortment of cogs and gears. Graphite Filter,1901.0,6570,27,The nervous genius Filmer has plans to design the first ever machine for heavier-than-air flight. But he has qualms about actually flying the thing.,Sci-fi,"He was a Discoverer and he had Discovered. But he was not a Flying Man, and it was only now that he was beginning to perceive clearly that he was expected to fly.",https://www.libraryofshortstories.com/storiespdf/filmer.pdf,https://www.libraryofshortstories.com/storiesepub/filmer.epub,https://www.libraryofshortstories.com/onlinereader/filmer
282,The Final Problem,Arthur Conan Doyle,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/detective.jpg,A man in a bowler hat and a popped collar. Graphite filter,1893.0,7154,29,"Holmes reveals that he has discovered that a ‘Professor Moriarty’ is behind nearly all of the major crime in London. He decides to submit the evidence to the police and put an end to the mastermind, knowing full well that the nemesis will seek revenge.",Mystery;Adventure,It is with a heavy heart that I take up my pen to write these the last words in which I shall ever record the singular gifts by which my friend Mr. Sherlock Holmes was distinguished.,https://www.libraryofshortstories.com/storiespdf/the-final-problem.pdf,https://www.libraryofshortstories.com/storiesepub/the-final-problem.epub,https://www.libraryofshortstories.com/onlinereader/the-final-problem
283,The Fish and the Ring,Flora Annie Steel,3.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/ring.jpg,A gold ring. Graphite filter.,1918.0,1531,7,"A powerful Baron with the power to see the future foretells that his son will marry a lowly girl from a poor family. Determined to stop this from happening, he rides off to seek the girl before it is too late.",Childrens;Fantasy,"But when he got to the river he flung the little thing into the swollen stream, and said to himself as he galloped back to his castle: “There goes Fate!”",https://www.libraryofshortstories.com/storiespdf/the-fish-and-the-ring.pdf,https://www.libraryofshortstories.com/storiesepub/the-fish-and-the-ring.epub,https://www.libraryofshortstories.com/onlinereader/the-fish-and-the-ring
284,The Five Orange Pips,Arthur Conan Doyle,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/detective.jpg,A man in a bowler hat and a popped collar. Graphite filter,1891.0,7327,30,"John Openshaw comes to Holmes for help. His father received a mysterious letter full of five orange pips, later he was found dead. Then his uncle received the same letter...",Mystery;Adventure,"“There is nothing more to be said or to be done tonight, so hand me over my violin and let us try to forget for half an hour the miserable weather and the still more miserable ways of our fellowmen.”",https://www.libraryofshortstories.com/storiespdf/the-five-orange-pips.pdf,https://www.libraryofshortstories.com/storiesepub/the-five-orange-pips.epub,https://www.libraryofshortstories.com/onlinereader/the-five-orange-pips
285,The Flower-Women,Clark Ashton Smith,3.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/lilacs.jpg,"Many crowded flowers, viewed from above. Graphite Filter.",1932.0,4449,18,"Maal Dweb, an all-powerful sorcerer decides to venture out into a world unprotected and unequipped to rediscover the thrill and excitement of a dangerous and difficult adventure.",Fantasy;Adventure,"Maal Dweb approached the flower-women with a certain caution; for he knew that they were vampires. Their arms ended in long tendrils, pale as ivory, swifter and more supple than the coils of darting serpents, with which they were wont to secure the unwary victims drawn by their singing.",https://www.libraryofshortstories.com/storiespdf/the-flower-women.pdf,https://www.libraryofshortstories.com/storiesepub/the-flower-women.epub,https://www.libraryofshortstories.com/onlinereader/the-flower-women
286,The Flowering of the Strange Orchid,H. G. Wells,3.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/crocus.jpg,Small blossoming flowers in the ground. Graphite filter.,1894.0,2949,12,"Wedderburn, avid collector of orchids, worries that he hasn’t had any adventure in his life. One day he comes home with exotic orchids he excitedly explains to his cousin were found underneath the foot of a dead adventurer.",Fantasy;Adventure;Horror,"Every drop of blood, they say, was taken out of him by the jungle-leeches. It may be that very plant that cost him his life to obtain.",https://www.libraryofshortstories.com/storiespdf/the-flowering-of-the-strange-orchid.pdf,https://www.libraryofshortstories.com/storiesepub/the-flowering-of-the-strange-orchid.epub,https://www.libraryofshortstories.com/onlinereader/the-flowering-of-the-strange-orchid
287,The Flying Gang,Banjo Paterson,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/kangaroo.jpg,A kangaroo on a plains. Graphite filter.,1891.0,269,2,A man tells of his satisfaction working for the ‘Flying Gang’.,Poetry,Come out with the pilot engine sharp - And away with the flying gang.,https://www.libraryofshortstories.com/storiespdf/the-flying-gang.pdf,https://www.libraryofshortstories.com/storiesepub/the-flying-gang.epub,https://www.libraryofshortstories.com/onlinereader/the-flying-gang
288,The Flying Man,H. G. Wells,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/adventure.jpg,A person sitting at the edge of a precipice overlooking a plains. Graphite filter.,1897.0,2653,11,,Fantasy;Sci-fi,"The Ethnologist looked at the bhimraj feather thoughtfully. “They seemed loth to part with it,” he said.“It is sacred to the Chiefs,” said the lieutenant; “just as yellow silk, you know, is sacred t...",https://www.libraryofshortstories.com/storiespdf/the-flying-man.pdf,https://www.libraryofshortstories.com/storiesepub/the-flying-man.epub,https://www.libraryofshortstories.com/onlinereader/the-flying-man
289,The Flying Stars,G. K. Chesterton,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/covers/small/the_flying_stars.jpg,A woman in a black fur coat feeds small sparrow-sized birds.,1911.0,5320,22,Diamonds go missing at a small Christmas party with very few suspects.,Mystery,"It was just as if a crystal fountain had spurted in their eyes. In a nest of orange velvet lay like three eggs, three white and vivid diamonds that seemed to set the very air on fire all round them.",https://www.libraryofshortstories.com/storiespdf/the-flying-stars.pdf,https://www.libraryofshortstories.com/storiesepub/the-flying-stars.epub,https://www.libraryofshortstories.com/onlinereader/the-flying-stars
290,The Footfalls Within,Robert E. Howard,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/covers/small/the_footfalls_within.jpg,Drawing of a man in a puritan hat stabs at a group of Arabian men with rifles.,1931.0,5869,24,Solomon Kane tries to rescue a girl from slave traders when he is himself captured.,Fantasy;Adventure;Horror;Gothic,"“I would trade my soul’s salvation to face you and your sword, alone and unarmed, and to tear the heart from your breast with my naked fingers.”",https://www.libraryofshortstories.com/storiespdf/the-footfalls-within.pdf,https://www.libraryofshortstories.com/storiesepub/the-footfalls-within.epub,https://www.libraryofshortstories.com/onlinereader/the-footfalls-within
291,Found on a Drowned Man,Guy de Maupassant,4.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/letter.jpg,A wax-stamped letter. Graphite filter.,1884.0,2013,9,A man tells of how he has never loved a woman.,Tragedy;Literary,"In order to love, one must be blind, surrender one's self absolutely, see nothing, question nothing, understand nothing. One must adore the weakness as well as the beauty of the beloved object, renounce all judgment, all reflection, all perspicacity.",https://www.libraryofshortstories.com/storiespdf/found-on-a-drowned-man.pdf,https://www.libraryofshortstories.com/storiesepub/found-on-a-drowned-man.epub,https://www.libraryofshortstories.com/onlinereader/found-on-a-drowned-man
292,Four Men in a Cave,Stephen Crane,3.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/cave.jpg,A cave with a beam of light shining down from an opening. Graphite filter.,1892.0,1666,7,"Four men explore a cave. After an argument and a fight, they all fall down a slope and find something unexpected deep inside.",Adventure;Quirky,"The four men lay in a heap upon the floor of a grey chamber. A small fire smoldered in the corner, the smoke disappearing in a crack. In another corner was a bed of faded hemlock boughs and two blankets. Cooking utensils and clothes lay about, with boxes and a barrel.",https://www.libraryofshortstories.com/storiespdf/four-men-in-a-cave.pdf,https://www.libraryofshortstories.com/storiesepub/four-men-in-a-cave.epub,https://www.libraryofshortstories.com/onlinereader/four-men-in-a-cave
293,The Fox and the Crow,Aesop,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/fox.jpg,A fox-like dog panting outside in the snow. Graphite filter.,-400.0,136,1,A small fable on cunning.,Childrens,A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese. Coming and standing under the t...,https://www.libraryofshortstories.com/storiespdf/the-fox-and-the-crow.pdf,https://www.libraryofshortstories.com/storiesepub/the-fox-and-the-crow.epub,https://www.libraryofshortstories.com/onlinereader/the-fox-and-the-crow
294,The Fox and the Grapes,Aesop,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/fox.jpg,A fox-like dog panting outside in the snow. Graphite filter.,-400.0,80,1,A small fable about sourness and... bitterness (The origin of the expression ‘sour grapes’).,Childrens,"A hungry Fox saw some fine bunches of Grapes hanging from a vine that was trained along a high trellis, and did his best to reach them by jumping as high as he could into the air.",https://www.libraryofshortstories.com/storiespdf/the-fox-and-the-grapes.pdf,https://www.libraryofshortstories.com/storiesepub/the-fox-and-the-grapes.epub,https://www.libraryofshortstories.com/onlinereader/the-fox-and-the-grapes
295,The Fox and the Stork,Aesop,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/fox.jpg,A fox-like dog panting outside in the snow. Graphite filter.,-400.0,111,1,A small fable on karma.,Childrens,"A Fox invited a Stork to dinner, at which the only fare provided was a large flat dish of soup. The Fox lapped it up with great relish, but the Stork with her long bill tried in vain to partake of the...",https://www.libraryofshortstories.com/storiespdf/the-fox-and-the-stork.pdf,https://www.libraryofshortstories.com/storiesepub/the-fox-and-the-stork.epub,https://www.libraryofshortstories.com/onlinereader/the-fox-and-the-stork
296,Freedom’s a Hard-Bought Thing,Stephen Vincent Benét,4.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/chains.jpg,"Long, iron chains falling onto a tense but open hand, palm up. Graphite filter.",1940.0,5796,24,"Cue has only known being a slave and has never questioned it. Then after both his parents die of sickness, he begins to question the way of things.",Literary;Adventure,"“The freedom sickness,” said the old woman, and her little eyes glittered like sparks. “Some they break and some they tame down,” she said, “and some is neither to be tamed or broken.”",https://www.libraryofshortstories.com/storiespdf/freedoms-a-hard-bought-thing.pdf,https://www.libraryofshortstories.com/storiesepub/freedoms-a-hard-bought-thing.epub,https://www.libraryofshortstories.com/onlinereader/freedoms-a-hard-bought-thing
